,Global_active_power,Global_reactive_power,Voltage,Sub_metering_1,Sub_metering_2,Sub_metering_3,converted_Date_week,Time_h,Time_min,target
0,4.216,0.418,234.84,0,1,17.0,50,17,24,18.0
1,5.36,0.436,233.63,0,1,16.0,50,17,25,17.0
2,5.374,0.498,233.29,0,2,17.0,50,17,26,19.0
3,5.388,0.502,233.74,0,1,17.0,50,17,27,18.0
4,3.666,0.528,235.68,0,1,17.0,50,17,28,18.0
5,3.52,0.522,235.02,0,2,17.0,50,17,29,19.0
6,3.702,0.52,235.09,0,1,17.0,50,17,30,18.0
7,3.7,0.52,235.22,0,1,17.0,50,17,31,18.0
8,3.668,0.51,233.99,0,1,17.0,50,17,32,18.0
9,3.662,0.51,233.86,0,2,16.0,50,17,33,18.0
10,4.448,0.498,232.86,0,1,17.0,50,17,34,18.0
11,5.412,0.47,232.78,0,1,17.0,50,17,35,18.0
12,5.224,0.478,232.99,0,1,16.0,50,17,36,17.0
13,5.268,0.398,232.91,0,2,17.0,50,17,37,19.0
14,4.054,0.422,235.24,0,1,17.0,50,17,38,18.0
15,3.384,0.282,237.14,0,0,17.0,50,17,39,17.0
16,3.27,0.152,236.73,0,0,17.0,50,17,40,17.0
17,3.43,0.156,237.06,0,0,17.0,50,17,41,17.0
18,3.266,0.0,237.13,0,0,18.0,50,17,42,18.0
19,3.728,0.0,235.84,0,0,17.0,50,17,43,17.0
20,5.894,0.0,232.69,0,0,16.0,50,17,44,16.0
21,7.706,0.0,230.98,0,0,17.0,50,17,45,17.0
22,7.026,0.0,232.21,0,0,16.0,50,17,46,16.0
23,5.174,0.0,234.19,0,0,17.0,50,17,47,17.0
24,4.474,0.0,234.96,0,0,17.0,50,17,48,17.0
25,3.248,0.0,236.66,0,0,17.0,50,17,49,17.0
26,3.236,0.0,235.84,0,0,17.0,50,17,50,17.0
27,3.228,0.0,235.6,0,0,17.0,50,17,51,17.0
28,3.258,0.0,235.49,0,0,17.0,50,17,52,17.0
29,3.178,0.0,235.28,0,0,17.0,50,17,53,17.0
30,2.72,0.0,235.06,0,0,17.0,50,17,54,17.0
31,3.758,0.076,234.17,0,0,17.0,50,17,55,17.0
32,4.342,0.09,233.77,0,0,16.0,50,17,56,16.0
